id,x,y,group1,group2,group3,group4,group5,group6
0,250.0,997.0,1,0,0,0,0,0
1,250.0,933.0,0,0,0,0,0,0
2,307.0,860.0,0,0,0,0,0,0
3,395.0,862.0,1,0,0,0,0,0
4,449.0,899.0,1,0,0,0,0,0
5,484.0,976.0,1,0,0,0,0,0
6,414.0,1063.0,0,0,0,0,0,1
7,594.0,647.0,0,1,0,0,0,0
8,578.0,577.0,0,1,0,0,0,0
9,615.0,527.0,0,0,0,0,0,0
10,730.0,487.0,0,0,0,0,0,0
11,769.0,563.0,0,1,0,0,0,0
12,699.0,682.0,0,0,0,0,0,1
13,1007.0,883.0,0,0,0,0,0,0
14,965.0,767.0,0,0,1,0,0,0
15,1032.0,687.0,0,0,0,0,0,1
16,1140.0,700.0,0,0,0,0,0,0
17,1164.0,754.0,0,0,1,0,0,0
18,1152.0,879.0,0,0,0,0,0,0
19,1091.0,946.0,0,0,1,0,0,1
20,1194.0,400.0,0,0,0,1,0,0
21,1270.0,378.0,0,0,0,0,0,0
22,1351.0,378.0,0,0,0,0,0,0
23,1385.0,499.0,0,0,0,1,0,0
24,1297.0,589.0,0,0,0,0,0,1
25,1214.0,566.0,0,0,0,1,0,0
26,1433.0,815.0,0,0,0,0,1,0
27,1495.0,763.0,0,0,0,0,0,0
28,1609.0,802.0,0,0,0,0,0,0
29,1627.0,906.0,0,0,0,0,1,0
30,1540.0,957.0,0,0,0,0,0,1
31,1433.0,948.0,0,0,0,0,1,0
